nama_kabupaten_kota,jumlah_produksi_sampah,satuan,tahun
KABUPATEN CIANJUR,1115.81,TON PER HARI,2019
KABUPATEN BANDUNG,1334.12,TON PER HARI,2019
KABUPATEN GARUT,1144.01,TON PER HARI,2019
KABUPATEN TASIKMALAYA,753.06,TON PER HARI,2019
KABUPATEN CIAMIS,560.57,TON PER HARI,2019
KABUPATEN KUNINGAN,537.25,TON PER HARI,2019
KABUPATEN CIREBON,3.15,TON PER HARI,2019
KABUPATEN MAJALENGKA,515.7,TON PER HARI,2019
KABUPATEN SUMEDANG,436.96,TON PER HARI,2019
KABUPATEN INDRAMAYU,1071.05,TON PER HARI,2019
KABUPATEN SUBANG,1012.45,TON PER HARI,2019
KABUPATEN PURWAKARTA,384.43,TON PER HARI,2019
KABUPATEN KARAWANG,934.4,TON PER HARI,2019
KABUPATEN BEKASI,2590.0,TON PER HARI,2019
KABUPATEN BANDUNG BARAT,1124.5,TON PER HARI,2019
KABUPATEN PANGANDARAN,250.23,TON PER HARI,2019
KOTA BOGOR,620.55,TON PER HARI,2019
KOTA SUKABUMI,172.82,TON PER HARI,2019
KOTA BANDUNG,1575.73,TON PER HARI,2019
KOTA CIREBON,245.0,TON PER HARI,2019
KOTA BEKASI,2060.7,TON PER HARI,2019
KOTA DEPOK,1469.77,TON PER HARI,2019
KOTA CIMAHI,267.74,TON PER HARI,2019
KOTA TASIKMALAYA,291.6,TON PER HARI,2019
KOTA BANJAR,100.67,TON PER HARI,2019
KABUPATEN BOGOR,2977.0,TON PER HARI,2020
KABUPATEN SUKABUMI,1006.0,TON PER HARI,2020
KABUPATEN CIANJUR,1117.0,TON PER HARI,2020
KABUPATEN BANDUNG,1355.0,TON PER HARI,2020
KABUPATEN GARUT,1151.0,TON PER HARI,2020
KABUPATEN TASIKMALAYA,754.0,TON PER HARI,2020
KABUPATEN CIAMIS,564.0,TON PER HARI,2020
KABUPATEN KUNINGAN,540.0,TON PER HARI,2020
KABUPATEN CIREBON,1096.0,TON PER HARI,2020
KABUPATEN MAJALENGKA,518.0,TON PER HARI,2020
KABUPATEN SUMEDANG,438.0,TON PER HARI,2020
KABUPATEN INDRAMAYU,1077.0,TON PER HARI,2020
KABUPATEN SUBANG,1023.0,TON PER HARI,2020
KABUPATEN PURWAKARTA,388.0,TON PER HARI,2020
KABUPATEN KARAWANG,942.0,TON PER HARI,2020
KABUPATEN BEKASI,2258.0,TON PER HARI,2020
KABUPATEN BANDUNG BARAT,1135.0,TON PER HARI,2020
KABUPATEN PANGANDARAN,252.0,TON PER HARI,2020
KOTA BOGOR,567.0,TON PER HARI,2020
KOTA SUKABUMI,181.0,TON PER HARI,2020
KOTA BANDUNG,1630.0,TON PER HARI,2020
KOTA CIREBON,192.0,TON PER HARI,2020
KOTA BEKASI,1923.0,TON PER HARI,2020
KOTA DEPOK,1516.0,TON PER HARI,2020
KOTA CIMAHI,369.0,TON PER HARI,2020
KOTA TASIKMALAYA,285.0,TON PER HARI,2020
KOTA BANJAR,79.0,TON PER HARI,2020
KABUPATEN BOGOR,971.59,TON PER HARI,2021
KABUPATEN SUKABUMI,356.02,TON PER HARI,2021
KABUPATEN CIANJUR,355.69,TON PER HARI,2021
KABUPATEN BANDUNG,1489.04,TON PER HARI,2021
KABUPATEN GARUT,321.17,TON PER HARI,2021
KABUPATEN TASIKMALAYA,172.26,TON PER HARI,2021
KABUPATEN CIAMIS,159.41,TON PER HARI,2021
KABUPATEN KUNINGAN,405.76,TON PER HARI,2021
KABUPATEN CIREBON,242.52,TON PER HARI,2021
KABUPATEN MAJALENGKA,546.54,TON PER HARI,2021
KABUPATEN SUMEDANG,707.75,TON PER HARI,2021
KABUPATEN INDRAMAYU,792.48,TON PER HARI,2021
KABUPATEN SUBANG,739.6,TON PER HARI,2021
KABUPATEN PURWAKARTA,239.72,TON PER HARI,2021
KABUPATEN KARAWANG,614.61,TON PER HARI,2021
KABUPATEN BEKASI,1193.76,TON PER HARI,2021
KABUPATEN BANDUNG BARAT,201.09,TON PER HARI,2021
KABUPATEN PANGANDARAN,46.62,TON PER HARI,2021
KOTA BOGOR,719.72,TON PER HARI,2021
KOTA SUKABUMI,232.06,TON PER HARI,2021
KOTA BANDUNG,1529.04,TON PER HARI,2021
KOTA CIREBON,229.75,TON PER HARI,2021
KOTA BEKASI,1500.77,TON PER HARI,2021
KOTA DEPOK,1418.87,TON PER HARI,2021
KOTA CIMAHI,193.36,TON PER HARI,2021
KOTA TASIKMALAYA,295.87,TON PER HARI,2021
KOTA BANJAR,60.29,TON PER HARI,2021
KABUPATEN BOGOR,,TON PER HARI,2022
KABUPATEN SUKABUMI,,TON PER HARI,2022
KABUPATEN CIANJUR,,TON PER HARI,2022
KABUPATEN BANDUNG,,TON PER HARI,2022
KABUPATEN GARUT,,TON PER HARI,2022
KABUPATEN TASIKMALAYA,,TON PER HARI,2022
KABUPATEN CIAMIS,,TON PER HARI,2022
KABUPATEN KUNINGAN,,TON PER HARI,2022
KABUPATEN CIREBON,,TON PER HARI,2022
KABUPATEN MAJALENGKA,,TON PER HARI,2022
KABUPATEN SUMEDANG,,TON PER HARI,2022
KABUPATEN INDRAMAYU,,TON PER HARI,2022
KABUPATEN SUBANG,,TON PER HARI,2022
KABUPATEN PURWAKARTA,,TON PER HARI,2022
KABUPATEN KARAWANG,,TON PER HARI,2022
KABUPATEN BEKASI,,TON PER HARI,2022
KABUPATEN BANDUNG BARAT,,TON PER HARI,2022
KABUPATEN PANGANDARAN,,TON PER HARI,2022
KOTA BOGOR,,TON PER HARI,2022
KOTA SUKABUMI,,TON PER HARI,2022
KOTA BANDUNG,,TON PER HARI,2022
KOTA CIREBON,,TON PER HARI,2022
KOTA BEKASI,,TON PER HARI,2022
KOTA DEPOK,,TON PER HARI,2022
KOTA CIMAHI,,TON PER HARI,2022
KOTA TASIKMALAYA,,TON PER HARI,2022
KOTA BANJAR,,TON PER HARI,2022
KABUPATEN BOGOR,,TON PER HARI,2023
KABUPATEN SUKABUMI,,TON PER HARI,2023
KABUPATEN CIANJUR,,TON PER HARI,2023
KABUPATEN BANDUNG,,TON PER HARI,2023
KABUPATEN GARUT,,TON PER HARI,2023
KABUPATEN TASIKMALAYA,,TON PER HARI,2023
KABUPATEN CIAMIS,,TON PER HARI,2023
KABUPATEN KUNINGAN,,TON PER HARI,2023
KABUPATEN CIREBON,,TON PER HARI,2023
KABUPATEN MAJALENGKA,,TON PER HARI,2023
KABUPATEN SUMEDANG,,TON PER HARI,2023
KABUPATEN INDRAMAYU,,TON PER HARI,2023
KABUPATEN SUBANG,,TON PER HARI,2023
KABUPATEN PURWAKARTA,,TON PER HARI,2023
KABUPATEN KARAWANG,,TON PER HARI,2023
KABUPATEN BEKASI,,TON PER HARI,2023
KABUPATEN BANDUNG BARAT,,TON PER HARI,2023
KABUPATEN PANGANDARAN,,TON PER HARI,2023
KOTA BOGOR,,TON PER HARI,2023
KOTA SUKABUMI,,TON PER HARI,2023
KOTA BANDUNG,,TON PER HARI,2023
KOTA CIREBON,,TON PER HARI,2023
KOTA BEKASI,,TON PER HARI,2023
KOTA DEPOK,,TON PER HARI,2023
KOTA CIMAHI,,TON PER HARI,2023
KOTA TASIKMALAYA,,TON PER HARI,2023
KOTA BANJAR,,TON PER HARI,2023
